area_name,sub_area_name,lat,lon,Count,,,
Banff National Park,Black Feather Canyon,51.27566259,-115.5102543,1,,,
Banff National Park,Black Feather Canyon,51.260646,-115.4958457,4,,,
Banff National Park,Buffalo Crag,0,0,1,,,51.43044095
Banff National Park,Carrot Creek,51.161,-115.405,10,,,
Banff National Park,Cascade Mountain,51.2265051,-115.5615477,1,,,
Banff National Park,Castle Mountain,51.3025396,-115.931984,1,,,
Banff National Park,Cathedral Boulders,51.43044095,-116.4020995,4,,,
Banff National Park,Coral Crag,51.28639222,-115.5235211,0,,,
Banff National Park,Corral Creek Boulders,51.40010834,-116.1383693,4,,,
Banff National Park,Guides Rock,51.177,-115.697,1,,,
Banff National Park,Lake Louise,51.40809391,-116.2405872,2,,,
Banff National Park,Lake Louise,51.406131,-116.240714,14,,,
Banff National Park,Mt Andromache,51.6109,-116.29464,1,,,
Banff National Park,Mt. Bourgeau,51.13141377,-115.7750358,1,,,
Banff National Park,Mt. Cory,51.183926,-115.696575,1,,,
Banff National Park,Mt. Cory,51.18311089,-115.7014944,10,,,
Banff National Park,Mt. Edith,51.206,-115.6716,1,,,
Banff National Park,Mt. Louis,51.21545,-115.68002,1,,,
Banff National Park,Mt. Norquay,51.1903977,-115.6323789,1,,,
Banff National Park,Mt. Rundle,51.11831516,-115.4713835,2,,,
Banff National Park,Mt. Temple,51.34966433,-116.203798,1,,,
Banff National Park,Mt. Wilson,51.99872,-116.7422,1,,,
Banff National Park,NoSeeUm Creek Boulders,51.62686238,-116.3150886,1,,,
Banff National Park,Raven's Crag,51.16341382,-115.5883602,1,,,
Banff National Park,Raven's Crag,51.16128018,-115.589405,3,,,
Banff National Park,Rockbound Lake,51.31044262,-115.9311676,1,,,
Banff National Park,Saddleback Crag,51.39424359,-116.2091195,1,,,
Banff National Park,Silver City,51.287,-115.915,1,,,
Banff National Park,Spray Slabs,51.15783932,-115.5501947,1,,,
Banff National Park,Stanley Headwall,51.19831,-116.04256,1,,,
Banff National Park,Sugarcube,51.6852472,-116.4148251,1,,,
Banff National Park,Sunshine Rock,51.15473,-115.68579,1,,,
Banff National Park,The Patio,51.17604408,-115.5536742,1,,,
Banff National Park,Tunnel Mountain,51.17603465,-115.5752866,1,,,
Banff National Park,Tunnel Mountain,51.1775,-115.5528,5,,,
Banff National Park,Tunnel Mountain,51.1693173,-115.5491678,1,,,
Banff National Park,Wonder Valley Boulders,51.41802972,-116.2738171,1,,,
Bow Valley,Acephale,51.06184942,-115.1181711,4,,,
