grade_id,grade_boulder,grade_french,grade_USA,,,
3,VB,2B+,5.3,,,
4,VB,3A,5.3,,,
5,VB,3B,5.4,,,
6,VB,4A,5.6,,,
7,VB,4B+,5.7,,,
8,VB,4C,5.7,,,
9,V0-,4C+,5.8,,,
10,V0,4C+,5.8,,,
11,V0,4C+,5.8,,,
12,V1-,5A,5.8,,,
13,V1-,5A,5.8,,,
14,V1,5A,5.8,,,
15,V1+,5A+,5.8,,,
16,V1+,5A+,5.8,,,
17,V2-,5A+,5.8,,,
18,V2,5A+,5.9,,,
19,V2+,5B,5.9,,,
20,V2+,5B,5.9,,,
21,V3-,5B,5.9,,,
22,V3,5B,5.9,,,
23,V3+,5B+,5.9,,,
24,V3+,5B+,5.9,,,
25,V4-,5B+,5.9,,,
26,V4-,5C,5.10a,,,
27,V4-,5C,5.10a,,,
28,V4,5C+,5.10a,,27,5.14a
29,V4+,6A,5.10a,,28,5.14b
30,V4+,6A,5.10a,,29,5.14c
31,V4+,6A,5.10b,,30,5.14d
32,V5-,6A+,5.10b,,31,5.15a
33,V5-,6A+,5.10b,,32,5.15b
34,V5,6A+,5.10b,,33,5.15c
35,V5,6A+,5.10b,,34,5.15d
36,V5,6B,5.10c,,35,
37,V5+,6B,5.10c,,36,
38,V5+,6B,5.10c,,37,
39,V6-,6B,5.10c,,38,
40,V6,6B,5.10c,,39,
41,V6,6B,5.10d,,,
42,V6+,6B+,5.10d,,,
43,V7-,6B+,5.10d,,,
44,V7,6B+,5.10d,,,
45,V7,6B+,5.10d,,,
46,V7+,6B+,5.11a,,,
47,V8-,6C,5.11a,,,
48,V8,6C,5.11a,,,
49,V8,6C,5.11a,,,
50,V8+,6C,5.11b,,,
51,V8+,6C+,5.11b,,,
52,V9-,6C+,5.11c,,,
53,V9-,6C+,5.11c,,,
54,V9,6C+,5.11c,,,
55,V9,7A,5.11c,,,
56,V9+,7A,5.11d,,,
57,V9+,7A,5.11d,,,
58,V10-,7A,5.11d,,,
59,V10,7A,5.11d,,,
60,V10,7A,5.11d,,,
61,V10+,7A+,5.12a,,,
62,V10+,7A+,5.12a,,,
63,V11-,7A+,5.12a,,,
64,V11,7A+,5.12a,,,
65,V11,7A+,5.12a,,,
66,V11+,7B,5.12b,,,
67,V11+,7B,5.12b,,,
68,V12-,7B,5.12b,,,
69,V12-,7B,5.12b,,,
70,V12,7B,5.12b,,,
71,V12,7B+,5.12c,,,
72,V12+,7B+,5.12c,,,
73,V12+,7B+,5.12c,,,
74,V13-,7B+,5.12c,,,
75,V13-,7B+,5.12c,,,
76,V13,7C,5.12d,,,
77,V13,7C,5.12d,,,
78,V13+,7C,5.12d,,,
79,V13+,7C,5.12d,,,
80,V14-,7C,5.12d,,,
81,V14-,7C,5.12d,,,
82,V14,7C+,5.13a,,,
83,V14,7C+,5.13a,,,
84,V14+,7C+,5.13a,,,
85,V14+,7C+,5.13a,,,
86,V14+,8A,5.13b,,,
87,V15-,8A,5.13b,,,
88,V15-,8A,5.13b,,,
89,V15-,8A,5.13b,,,
90,V15,8A,5.13b,,,
91,V15,8A+,5.13c,,,
92,V15,8A+,5.13c,,,
93,V15+,8A+,5.13c,,,
94,V15+,8A+,5.13c,,,
95,V15+,8A+,5.13c,,,
96,V16-,8B,5.13d,,,
97,V16-,8B,5.13d,,,
98,V16-,8B,5.13d,,,
99,V16,8B,5.13d,,,
100,V16,8B,5.13d,,,
101,V16,8B+,5.14a,,,
102,V16+,8B+,5.14a,,,
103,V16+,8B+,5.14a,,,
104,V16+,8B+,5.14a,,,
105,V16+,8B+,5.14a,,,
106,V17-,8C,5.14b,,,
107,V17-,8C,5.14b,,,
108,V17-,8C,5.14b,,,
109,V17-,8C,5.14b,,,
110,V17,8C,5.14b,,,
111,V17,8C+,5.14c,,,
112,V17,8C+,5.14c,,,
113,V17,8C+,5.14c,,,
114,V17+,8C+,5.14c,,,
115,V17+,8C+,5.14c,,,
116,V17+,8C+,5.14c,,,
117,V17+,9A,5.14d,,,
118,V17+,9A,5.14d,,,
119,V18-,9A,5.14d,,,
120,V18-,9A,5.14d,,,
121,V18-,9A,5.14d,,,
122,V18-,9A+,5.15a,,,
123,V18-,9A+,5.15a,,,
124,V18,9A+,5.15a,,,
125,V18,9A+,5.15a,,,
126,V18,9B,5.15b,,,
127,V18,9B,5.15b,,,
